location_name,location_id,sensor_id,utc_timestamp,local_timestamp,pm25_value,parameter,unit
Near Puregold Tayuman,6303935,15922109,2026-04-19T17:00:00Z,2026-04-20T01:00:00+08:00,29.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T18:00:00Z,2026-04-20T02:00:00+08:00,26.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T19:00:00Z,2026-04-20T03:00:00+08:00,25.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T21:00:00Z,2026-04-20T05:00:00+08:00,38.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-19T22:00:00Z,2026-04-20T06:00:00+08:00,38.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T00:00:00Z,2026-04-20T08:00:00+08:00,42.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T01:00:00Z,2026-04-20T09:00:00+08:00,60.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T08:00:00Z,2026-04-20T16:00:00+08:00,37.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T09:00:00Z,2026-04-20T17:00:00+08:00,33.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T10:00:00Z,2026-04-20T18:00:00+08:00,34.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T11:00:00Z,2026-04-20T19:00:00+08:00,37.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T21:00:00Z,2026-04-21T05:00:00+08:00,31.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-20T22:00:00Z,2026-04-21T06:00:00+08:00,37.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T09:00:00Z,2026-04-21T17:00:00+08:00,29.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T10:00:00Z,2026-04-21T18:00:00+08:00,29.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T11:00:00Z,2026-04-21T19:00:00+08:00,30.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T13:00:00Z,2026-04-21T21:00:00+08:00,24.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T14:00:00Z,2026-04-21T22:00:00+08:00,25.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T15:00:00Z,2026-04-21T23:00:00+08:00,23.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T16:00:00Z,2026-04-22T00:00:00+08:00,22.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T17:00:00Z,2026-04-22T01:00:00+08:00,21.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T19:00:00Z,2026-04-22T03:00:00+08:00,26.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T20:00:00Z,2026-04-22T04:00:00+08:00,36.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T22:00:00Z,2026-04-22T06:00:00+08:00,30.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-21T23:00:00Z,2026-04-22T07:00:00+08:00,31.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T01:00:00Z,2026-04-22T09:00:00+08:00,32.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T02:00:00Z,2026-04-22T10:00:00+08:00,32.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T03:00:00Z,2026-04-22T11:00:00+08:00,33.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T04:00:00Z,2026-04-22T12:00:00+08:00,38.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T06:00:00Z,2026-04-22T14:00:00+08:00,27.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T07:00:00Z,2026-04-22T15:00:00+08:00,30.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T08:00:00Z,2026-04-22T16:00:00+08:00,30.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T09:00:00Z,2026-04-22T17:00:00+08:00,31.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T12:00:00Z,2026-04-22T20:00:00+08:00,30.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T13:00:00Z,2026-04-22T21:00:00+08:00,31.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T15:00:00Z,2026-04-22T23:00:00+08:00,26.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T16:00:00Z,2026-04-23T00:00:00+08:00,24.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T17:00:00Z,2026-04-23T01:00:00+08:00,24.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T18:00:00Z,2026-04-23T02:00:00+08:00,29.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-22T19:00:00Z,2026-04-23T03:00:00+08:00,29.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T00:00:00Z,2026-04-23T08:00:00+08:00,31.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T01:00:00Z,2026-04-23T09:00:00+08:00,35.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T07:00:00Z,2026-04-23T15:00:00+08:00,29.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T08:00:00Z,2026-04-23T16:00:00+08:00,22.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T10:00:00Z,2026-04-23T18:00:00+08:00,29.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T11:00:00Z,2026-04-23T19:00:00+08:00,30.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T15:00:00Z,2026-04-23T23:00:00+08:00,24.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T16:00:00Z,2026-04-24T00:00:00+08:00,22.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T17:00:00Z,2026-04-24T01:00:00+08:00,24.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T20:00:00Z,2026-04-24T04:00:00+08:00,30.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T21:00:00Z,2026-04-24T05:00:00+08:00,30.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T22:00:00Z,2026-04-24T06:00:00+08:00,36.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-23T23:00:00Z,2026-04-24T07:00:00+08:00,46.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T05:00:00Z,2026-04-24T13:00:00+08:00,31.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T06:00:00Z,2026-04-24T14:00:00+08:00,28.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T07:00:00Z,2026-04-24T15:00:00+08:00,31.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T12:00:00Z,2026-04-24T20:00:00+08:00,28.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T13:00:00Z,2026-04-24T21:00:00+08:00,30.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T14:00:00Z,2026-04-24T22:00:00+08:00,21.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T16:00:00Z,2026-04-25T00:00:00+08:00,30.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T17:00:00Z,2026-04-25T01:00:00+08:00,35.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T20:00:00Z,2026-04-25T04:00:00+08:00,30.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T21:00:00Z,2026-04-25T05:00:00+08:00,29.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-24T23:00:00Z,2026-04-25T07:00:00+08:00,33.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T00:00:00Z,2026-04-25T08:00:00+08:00,39.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T01:00:00Z,2026-04-25T09:00:00+08:00,33.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T02:00:00Z,2026-04-25T10:00:00+08:00,30.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T03:00:00Z,2026-04-25T11:00:00+08:00,29.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T04:00:00Z,2026-04-25T12:00:00+08:00,28.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T05:00:00Z,2026-04-25T13:00:00+08:00,27.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T06:00:00Z,2026-04-25T14:00:00+08:00,26.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T07:00:00Z,2026-04-25T15:00:00+08:00,21.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T08:00:00Z,2026-04-25T16:00:00+08:00,17.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T09:00:00Z,2026-04-25T17:00:00+08:00,16.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T10:00:00Z,2026-04-25T18:00:00+08:00,25.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T11:00:00Z,2026-04-25T19:00:00+08:00,21.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T13:00:00Z,2026-04-25T21:00:00+08:00,23.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T14:00:00Z,2026-04-25T22:00:00+08:00,20.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T15:00:00Z,2026-04-25T23:00:00+08:00,22.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T16:00:00Z,2026-04-26T00:00:00+08:00,35.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T17:00:00Z,2026-04-26T01:00:00+08:00,19.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-25T18:00:00Z,2026-04-26T02:00:00+08:00,18.2,PM2.5,µg/m³
